refYear,refMonth,reporterISO,netWgt,primaryValue,unitvalue,wtqty
2023,1,USA,5693521040.0,3456883269,0.607160884,569.352104
2023,2,USA,3053631893.0,1919323074,0.628537801,305.3631893
2023,3,USA,1357079848.0,832884486,0.613732852,135.7079848
2023,4,USA,1256087351.0,735036906,0.585179769,125.6087351
2023,5,USA,24564000.0,14380306,0.585422,2.4564
2023,6,USA,31041280.0,17435354,0.56168283,3.104128
2023,7,USA,25070000.0,14561646,0.580839489,2.507
2023,8,USA,238665000.0,138673498,0.581038267,23.8665
2023,9,USA,1254570000.0,709674617,0.565671598,125.457
2023,10,USA,7378451460.0,3964311822,0.537282361,737.845146
2023,11,USA,4433323647.0,2367201684,0.533956434,443.3323647
2023,12,USA,1856587930.0,993346427,0.535038719,185.658793
2024,1,USA,3816779590.0,2032659060,0.532558669,381.677959
2024,2,USA,3253816909.0,1686940270,0.51844966,325.3816909
2024,3,USA,1767685543.0,889516632,0.503209768,176.7685543
2024,4,USA,533036372.7,290372611,0.544751964,53.303637269999996
2024,5,USA,290753194.5,157998991,0.543412743,29.07531945
2024,6,USA,22104304.6,12096915,0.547265124,2.21043046
2024,7,USA,24026514.61,11109325,0.462377718,2.402651461
2024,8,USA,291428485.7,135676575,0.465557012,29.142848569999998
2024,9,USA,988857391.3,457465973,0.462620775,98.88573912999999
2024,10,USA,5769740395.0,2668039747,0.462419375,576.9740395
2024,11,USA,5771826229.0,2668939452,0.462408144,577.1826229
2024,12,USA,3785983414.0,1750554372,0.462377718,378.5983414
2025,1,USA,1621818151.0,749892576,0.462377718,162.1818151
2025,2,USA,1327122050.0,613631665,0.462377718,132.712205
2025,3,USA,1755389918.0,811653185,0.462377718,175.5389918
2025,4,USA,487321538.5,225326621,0.462377718,48.73215385
2025,5,USA,135136643.8,62484173,0.462377718,13.513664380000002
2025,6,USA,0.0,0,0.0,0.0
2025,7,USA,0.0,0,0.0,0.0
2025,8,USA,0.0,0,0.0,0.0
2025,9,USA,0.0,0,0.0,0.0
2025,10,USA,0.0,0,0.0,0.0
