,Date,Partner,GDP_Reporter_BnUSD,GDP_Partner_BnUSD,Distance_km,Tariff_Rate,Soybean_Price_USD_Ton,wtqty,value
0,2024-01-01,Argentina,18500.0,600.0,19200,0.03,450.0,0.686297075,3374784.229
1,2024-01-02,Argentina,18543.48,601.52,19200,0.03,448.33,0.817815763,3940208.892
2,2024-01-03,Argentina,18586.96,603.04,19200,0.03,446.67,2.281814244,10758562.45
3,2024-01-04,Argentina,18630.43,604.57,19200,0.03,445.0,16.4512,75156510.0
4,2024-01-05,Argentina,18673.91,606.09,19200,0.03,446.0,138.76,612257470.0
5,2024-01-06,Argentina,18717.39,607.61,19200,0.03,447.0,135.002,589512600.0
6,2024-01-07,Argentina,18760.87,609.13,19200,0.03,448.0,33.4744,142351215.0
7,2024-01-08,Argentina,18804.35,610.65,19200,0.03,450.33,41.6378,165192352.0
8,2024-01-09,Argentina,18847.83,612.17,19200,0.03,452.67,26.5545,109682440.0
9,2024-01-10,Argentina,18891.3,613.7,19200,0.03,455.0,17.74612838,76603962.8
10,2024-01-11,Argentina,18934.78,615.22,19200,0.03,456.0,16.88954032,74280441.38
11,2024-01-12,Argentina,18978.26,616.74,19200,0.03,457.0,20.89530874,91774599.68
12,2024-01-01,Brazil,18500.0,2200.0,16632,0.03,455.0,196.2054,1003079398.0
13,2024-01-02,Brazil,18543.48,2206.09,16632,0.03,453.33,490.1600039,2167085063.0
14,2024-01-03,Brazil,18586.96,2212.17,16632,0.03,451.67,901.610503,3814402261.0
15,2024-01-04,Brazil,18630.43,2218.26,16632,0.03,450.0,983.848701,4208922805.0
16,2024-01-05,Brazil,18673.91,2224.35,16632,0.03,450.67,998.8298063,4276186531.0
17,2024-01-06,Brazil,18717.39,2230.43,16632,0.03,451.33,1062.132008,4669990440.0
18,2024-01-07,Brazil,18760.87,2236.52,16632,0.03,452.0,892.1288,3921886966.0
19,2024-01-08,Brazil,18804.35,2242.61,16632,0.03,454.0,592.2101,2569489311.0
20,2024-01-09,Brazil,18847.83,2248.7,16632,0.03,456.0,431.5064366,1815730555.0
21,2024-01-10,Brazil,18891.3,2254.78,16632,0.03,458.0,354.5968,1515953295.0
22,2024-01-11,Brazil,18934.78,2260.87,16632,0.03,458.67,215.2970003,919272757.0
23,2024-01-12,Brazil,18978.26,2266.96,16632,0.03,459.33,168.2481078,617888329.0
24,2024-01-01,USA,18500.0,27800.0,11172,0.21,460.0,381.677959,2032659060.0
25,2024-01-02,USA,18543.48,27843.48,11172,0.21,459.33,325.3816909,1686940270.0
26,2024-01-03,USA,18586.96,27886.96,11172,0.21,458.67,176.7685543,889516632.0
27,2024-01-04,USA,18630.43,27930.43,11172,0.21,458.0,53.30363727,290372611.0
28,2024-01-05,USA,18673.91,27973.91,11172,0.21,460.33,29.07531945,157998991.0
29,2024-01-06,USA,18717.39,28017.39,11172,0.21,462.67,2.21043046,12096915.0
30,2024-01-07,USA,18760.87,28060.87,11172,0.21,465.0,2.402651461,11109325.0
31,2024-01-08,USA,18804.35,28104.35,11172,0.21,464.0,29.14284857,135676575.0
32,2024-01-09,USA,18847.83,28147.83,11172,0.21,463.0,98.88573913,457465973.0
33,2024-01-10,USA,18891.3,28191.3,11172,0.21,462.0,576.9740395,2668039747.0
34,2024-01-11,USA,18934.78,28234.78,11172,0.21,461.33,577.1826229,2668939452.0
35,2024-01-12,USA,18978.26,28278.26,11172,0.21,460.67,378.5983414,1750554372.0
36,2025-01-01,Argentina,19021.74,618.26,19200,0.03,458.0,30.88213935,133506692.1
37,2025-01-02,Argentina,19065.22,619.78,19200,0.03,465.33,49.11050509,207017362.6
38,2025-01-03,Argentina,19108.7,621.3,19200,0.03,472.67,73.09087237,300098367.3
39,2025-01-04,Argentina,19152.17,622.83,19200,0.03,480.0,100.9794759,403341697.9
40,2025-01-05,Argentina,19195.65,624.35,19200,0.03,485.0,111.972,438795840.0
41,2025-01-06,Argentina,19239.13,625.87,19200,0.03,490.0,90.9144,354424554.0
42,2025-01-07,Argentina,19282.61,627.39,19200,0.03,495.0,49.84503424,197273317.6
43,2025-01-08,Argentina,19326.09,628.91,19200,0.03,493.33,16.06294561,66265125.17
44,2025-01-09,Argentina,19369.57,630.43,19200,0.03,491.67,2.784508112,12327552.45
45,2025-01-10,Argentina,19413.04,631.96,19200,0.03,490.0,0.257254708,1253773.14
46,2025-01-01,Brazil,19021.74,2273.04,16632,0.03,460.0,80.8773,323952013.0
47,2025-01-02,Brazil,19065.22,2279.13,16632,0.03,470.0,502.9647,1985952505.0
48,2025-01-03,Brazil,19108.7,2285.22,16632,0.03,480.0,1114.0739,4313221073.0
49,2025-01-04,Brazil,19152.17,2291.3,16632,0.03,490.0,1075.9099,4126925834.0
50,2025-01-05,Brazil,19195.65,2297.39,16632,0.03,496.67,1037.812546,4053433875.0
51,2025-01-06,Brazil,19239.13,2303.48,16632,0.03,503.33,1035.054203,4113040268.0
52,2025-01-07,Brazil,19282.61,2309.57,16632,0.03,510.0,956.6859301,3885074229.0
53,2025-01-08,Brazil,19326.09,2315.65,16632,0.03,506.67,798.2386,3295925613.0
54,2025-01-09,Brazil,19369.57,2321.74,16632,0.03,503.33,680.6542,2864739717.0
55,2025-01-10,Brazil,19413.04,2327.83,16632,0.03,500.0,634.0589026,2651925049.0
56,2025-01-01,USA,19021.74,28321.74,11172,0.21,460.0,162.1818151,749892576.0
57,2025-01-02,USA,19065.22,28365.22,11172,0.21,446.67,132.712205,613631665.0
58,2025-01-03,USA,19108.7,28408.7,11172,0.21,433.33,175.5389918,811653185.0
59,2025-01-04,USA,19152.17,28452.17,11172,0.28,420.0,48.73215385,225326621.0
60,2025-01-05,USA,19195.65,28495.65,11172,0.28,416.67,13.51366438,62484173.0
61,2025-01-06,USA,19239.13,28539.13,11172,0.28,413.33,0.0,0.0
62,2025-01-07,USA,19282.61,28582.61,11172,0.28,410.0,0.0,0.0
63,2025-01-08,USA,19326.09,28626.09,11172,0.28,408.33,0.0,0.0
64,2025-01-09,USA,19369.57,28669.57,11172,0.28,406.67,0.0,0.0
65,2025-01-10,USA,19413.04,28713.04,11172,0.28,405.0,0.0,0.0
66,2025-01-11,USA,19456.52,28756.52,11172,0.28,405.0,0.0,0.0
67,2025-01-12,USA,19500.0,28800.0,11172,0.28,405.0,0.0,0.0
