observation_date,IMPTOTUS,import_growth_rate,True elasticity
2018-07-01,216854.224361,0.1122671976699365,0.449068790679746
2018-08-01,221896.965105,0.1381319237661537,0.5525276950646149
2018-09-01,211317.474139,0.08386864711474663,0.8386864711474663
2018-10-01,235857.712175,0.2097380041488806,2.097380041488806
2018-11-01,213493.034014,0.09502731323093506,0.9502731323093506
2018-12-01,206577.736951,0.05955805683077495,0.5955805683077494
2019-01-01,203980.735535,0.04623777452670261,0.4623777452670261
2019-02-01,185267.53233,-0.049744132902520374,-0.4974413290252037
2019-03-01,207511.04615,0.0643450938847693,0.643450938847693
2019-04-01,208742.142619,0.07065951189378378,0.7065951189378378
2019-05-01,220207.611029,0.12946705625194377,0.5178682250077751
2019-06-01,206531.579286,0.05932130950961103,0.23728523803844412
2019-07-01,218311.146547,0.11973989856760378,0.4789595942704151
2019-08-01,215245.816181,0.10401750982387514,0.41607003929550057
2019-09-01,206148.934308,0.05735868480798648,0.3823912320532432
2019-10-01,218901.114532,0.1227659038913393,0.8184393592755954
2019-11-01,198974.554693,0.020560567856793367,0.13707045237862245
2019-12-01,201877.354516,0.035449321045894884,0.23632880697263256
